Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2009","2009","1000 ha","146.8","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2010","2010","1000 ha","146.1","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2011","2011","1000 ha","145.4","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2012","2012","1000 ha","144.7","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2013","2013","1000 ha","144","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2014","2014","1000 ha","143.3","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2015","2015","1000 ha","142.6","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2016","2016","1000 ha","141.9","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2017","2017","1000 ha","141.2","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2018","2018","1000 ha","140.5","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2019","2019","1000 ha","139.8","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2020","2020","1000 ha","138.6","A","Official figure",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2021","2021","1000 ha","138.6","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2022","2022","1000 ha","138.6","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6620","Cropland","2023","2023","1000 ha","138.6","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","1990","1990","1000 ha","23","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","1991","1991","1000 ha","23","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","1992","1992","1000 ha","23","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","1993","1993","1000 ha","23","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","1994","1994","1000 ha","23","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","1995","1995","1000 ha","23","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","1996","1996","1000 ha","23","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","1997","1997","1000 ha","23","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","1998","1998","1000 ha","23","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","1999","1999","1000 ha","23","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2000","2000","1000 ha","23","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2001","2001","1000 ha","23","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2002","2002","1000 ha","25","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2003","2003","1000 ha","25","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2004","2004","1000 ha","25","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2005","2005","1000 ha","25","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2006","2006","1000 ha","25","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2007","2007","1000 ha","25","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2008","2008","1000 ha","25","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2009","2009","1000 ha","24.5","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2010","2010","1000 ha","24.5","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2011","2011","1000 ha","25.5","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2012","2012","1000 ha","25.5","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2013","2013","1000 ha","25.5","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2014","2014","1000 ha","25.5","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2015","2015","1000 ha","25.5","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2016","2016","1000 ha","25.5","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2017","2017","1000 ha","26.5","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2018","2018","1000 ha","27.5","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2019","2019","1000 ha","27.5","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2020","2020","1000 ha","28.5","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2021","2021","1000 ha","28.5","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2022","2022","1000 ha","28.5","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6620","Cropland","2023","2023","1000 ha","28.5","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","1990","1990","1000 ha","12","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","1991","1991","1000 ha","12","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","1992","1992","1000 ha","12","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","1993","1993","1000 ha","12","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","1994","1994","1000 ha","12","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","1995","1995","1000 ha","12","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","1996","1996","1000 ha","12","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","1997","1997","1000 ha","12","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","1998","1998","1000 ha","12","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","1999","1999","1000 ha","12","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2000","2000","1000 ha","12","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2001","2001","1000 ha","12","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2002","2002","1000 ha","12","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2003","2003","1000 ha","12","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2004","2004","1000 ha","12","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2005","2005","1000 ha","12","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2006","2006","1000 ha","12","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2007","2007","1000 ha","11","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2008","2008","1000 ha","11","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2009","2009","1000 ha","10","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2010","2010","1000 ha","10","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2011","2011","1000 ha","10","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2012","2012","1000 ha","10","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2013","2013","1000 ha","10","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2014","2014","1000 ha","10","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2015","2015","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2016","2016","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2017","2017","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2018","2018","1000 ha","8","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2019","2019","1000 ha","8","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2020","2020","1000 ha","8","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2021","2021","1000 ha","8","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2022","2022","1000 ha","8","I","Value imputed by a receiving agency",""
"RL","Land Use","316","Guam","5110","Area","6620","Cropland","2023","2023","1000 ha","8","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","1990","1990","1000 ha","39","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","1991","1991","1000 ha","39","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","1992","1992","1000 ha","39","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","1993","1993","1000 ha","37","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","1994","1994","1000 ha","37","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","1995","1995","1000 ha","37","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","1996","1996","1000 ha","37","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","1997","1997","1000 ha","37","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","1998","1998","1000 ha","34","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","1999","1999","1000 ha","34","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","2000","2000","1000 ha","34","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","2001","2001","1000 ha","34","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","2002","2002","1000 ha","34","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","2003","2003","1000 ha","34","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","2004","2004","1000 ha","34","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","2005","2005","1000 ha","34","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","2006","2006","1000 ha","34","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","2007","2007","1000 ha","34","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","2008","2008","1000 ha","34","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","2009","2009","1000 ha","34","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","2010","2010","1000 ha","34","I","Value imputed by a receiving agency",""
"RL","Land Use","296","Kiribati","5110","Area","6620","Cropland","2011","2011","1000 ha","34","I","Value imputed by a receiving agency",""
